"source","target","weight"
"AC","CONVENCAO AMERICANA DIREITOS HUMANOS",1
"ACI","CONVENCAO VIENA RELACOES DIPLOMATICAS",1
"ACI","TRATADO COMERCIO NAVEGACAO BRASIL URUGUAI",1
"ACO","ACORDO COOPERACAO SANITARIA FRONTEIRICA BRASIL VENEZUELA",1
"ACO","CONVENCAO AMERICANA DIREITOS HUMANOS",1
"ACO","CONVENCAO EUROPEIA IMUNIDADE ESTADOS",3
"ACO","CONVENCAO MAR TERRITORIAL ZONA CONTIGUA",1
"ACO","CONVENCAO NACOES UNIDAS DIREITO MAR",1
"ACO","CONVENCAO POVOS INDIGENAS TRIBAIS",2
"ACO","CONVENCAO RELATIVA ESTATUTO REFUGIADOS",2
"ACO","CONVENCAO VIENA DIREITO TRATADOS",1
"ACO","CONVENCAO VIENA RELACOES CONSULARES",5
"ACO","CONVENCAO VIENA RELACOES DIPLOMATICAS",5
"ACO","PACTO INTERNACIONAL DIREITOS CIVIS POLITICOS",1
"ACO","PACTO INTERNACIONAL DIREITOS ECONOMICOS SOCIAIS CULTURAIS",1
"ACO","PROTOCOLO ESTATUTO REFUGIADOS",2
"ACO","REGIMENTO INTERNO ITAIPU BINACIONAL",1
"ACO","RESOLUCAO CONSELHO ADMINISTRACAO ITAIPU RCA",1
"ACO","TRATADO BRASIL PARAGUAI APROVEITAMENTO HIDRELETRICO RECURSOS HIDRICOS RIO PARANA",1
"ADC","ACORDO GERAL TARIFAS ADUANEIRAS COMERCIO",1
"ADC","CONVENCAO AMERICANA DIREITOS HUMANOS",4
"ADC","CONVENCAO COMBATE CORRUPCAO FUNCIONARIOS PUBLICOS ESTRANGEIROS TRANSACOES COMERCIAIS INTERNACIONAIS",1
"ADC","CONVENCAO DIVERSIDADE BIOLOGICA",1
"ADC","CONVENCAO ELIMINACAO TODAS FORMAS DISCRIMINACAO CONTRA MULHER",2
"ADC","CONVENCAO INSPECAO TRABALHO INDUSTRIA NO COMERCIO",1
"ADC","CONVENCAO INTERAMERICANA CONTRA CORRUPCAO",1
"ADC","CONVENCAO INTERAMERICANA PREVENIR PUNIR ERRADICAR VIOLENCIA CONTRA MULHER",1
"ADC","CONVENCAO INTERNACIONAL ELIMINACAO TODAS FORMAS DISCRIMINACAO RACIAL",1
"ADC","CONVENCAO NACOES UNIDAS CONTRA CORRUPCAO",1
"ADC","CONVENCAO NACOES UNIDAS CONTRA CRIME ORGANIZADO TRANSNACIONAL",1
"ADC","CONVENCAO QUADRO NACOES UNIDAS MUDANCA CLIMA",1
"ADC","CONVENCAO TERMINO RELACAO TRABALHO POR INICIATIVA EMPREGADOR OIT",1
"ADC","CONVENCAO VIENA DIREITO TRATADOS",1
"ADC","PACTO INTERNACIONAL DIREITOS CIVIS POLITICOS",3
"ADC","PACTO INTERNACIONAL DIREITOS ECONOMICOS SOCIAIS CULTURAIS",2
"ADC","PROTOCOLO QUIOTO",1
"ADI","ACORDO APLICACAO MEDIDAS SANITARIAS FITOSSANITARIAS",1
"ADI","ACORDO ASPECTOS DIREITOS PROPRIEDADE INTELECTUAL RELACIONADOS COMERCIO",1
"ADI","ACORDO BARREIRAS TECNICAS COMERCIO",1
"ADI","ACORDO BRASIL EUA INTERCAMBIO INFORMACOES RELATIVAS TRIBUTOS",1
"ADI","ACORDO BRASIL SANTA SE RELATIVO ESTATUTO JURIDICO IGREJA CATOLICA BRASIL",1
"ADI","ACORDO GERAL TARIFAS ADUANEIRAS COMERCIO",3
"ADI","ATO CONFERENCIA INTERNACIONAL SAUDE",2
"ADI","CONVENCAO AMERICANA DIREITOS HUMANOS",43
