"label","type","id"
"RE","classe",1
"EXT","classe",2
"ADI","classe",3
"HC","classe",4
"AI","classe",5
"ADPF","classe",6
"ARE","classe",7
"RMS","classe",8
"ACO","classe",9
"RCL","classe",10
"ADC","classe",11
"AP","classe",12
"MI","classe",13
"INQ","classe",14
"ADO","classe",15
"CR","classe",16
"RHC","classe",17
"PPE","classe",18
"PET","classe",19
"AC","classe",20
"AO","classe",21
"ACI","classe",22
"MS","classe",23
"SL","classe",24
"ACORDO GERAL TARIFAS ADUANEIRAS COMERCIO","ato",25
"CONVENCAO PREVENCAO REPRESSAO CRIME GENOCIDIO","ato",26
"TRATADO EXTRADICAO BRASIL ITALIA","ato",27
"CONVENCAO NACOES UNIDAS CONTRA CRIME ORGANIZADO TRANSNACIONAL","ato",28
"TRATADO EXTRADICAO BRASIL SUICA","ato",29
"PACTO INTERNACIONAL DIREITOS CIVIS POLITICOS","ato",30
"CONVENCAO AMERICANA DIREITOS HUMANOS","ato",31
"CONVENCAO EUROPEIA EXTRADICAO","ato",32
"CONVENCAO CONTRA TORTURA OUTROS TRATAMENTOS PENAS CRUEIS DESUMANOS DEGRADANTES","ato",33
"CONVENCAO CONTRA TRAFICO ILICITO ENTORPECENTES SUBSTANCIAS PSICOTROPICAS","ato",34
"CONVENCAO VARSOVIA","ato",35
"CONVENCAO INTERAMERICANA PREVENIR PUNIR TORTURA","ato",36
"CONVENCAO IMPRESCRITIBILIDADE CRIMES GUERRA CRIMES CONTRA HUMANIDADE","ato",37
"TRATADO EXTRADICAO BRASIL PORTUGAL","ato",38
"ACORDO BILATERAL BRASIL HOLANDA","ato",39
"ACORDO BILATERAL BRASIL PORTUGAL","ato",40
"ACORDO EXTRADICAO ESTADOS PARTES MERCOSUL","ato",41
"ACORDO EXTRADICAO BRASIL PERU","ato",42
"ACORDO PARIS SOB CONVENCAO QUADRO NACOES UNIDAS MUDANCA CLIMA","ato",43
"ACORDO BRASIL EUA MELHORIA OBSERVANCIA TRIBUTARIA INTERNACIONAL IMPLEMENTACAO FATCA","ato",44
"ACORDO BRASIL EUA INTERCAMBIO INFORMACOES RELATIVAS TRIBUTOS","ato",45
"ACORDO APLICACAO MEDIDAS SANITARIAS FITOSSANITARIAS","ato",46
"ACORDO BARREIRAS TECNICAS COMERCIO","ato",47
"ACORDO SUL AMERICANO ENTORPECENTES PSICOTROPICOS","ato",48
"REGULAMENTO SANITARIO INTERNACIONAL","ato",49
"CONVENCAO NACOES UNIDAS DIREITO MAR","ato",50
"CONVENCAO CONTROLE MOVIMENTOS TRANSFRONTEIRICOS RESIDUOS PERIGOSOS SEU DEPOSITO","ato",51
"CONVENCAO PROCEDIMENTO CONSENTIMENTO PREVIO INFORMADO COMERCIO INTERNACIONAL CERTAS SUBSTANCIAS QUIMICAS AGROTOXICOS PERIGOSOS","ato",52
"TRATADO BRASIL PARAGUAI APROVEITAMENTO HIDRELETRICO RECURSOS HIDRICOS RIO PARANA","ato",53
"ACORDO DOCUMENTOS VIAGEM ESTADOS PARTES MERCOSUL ESTADOS ASSOCIADOS","ato",54
"TRATADO EXTRADICAO BRASIL ESPANHA","ato",55
"CONVENCAO INTERNACIONAL ELIMINACAO TODAS FORMAS DISCRIMINACAO RACIAL","ato",56
"TRATADO EXTRADICAO BRASIL EUA","ato",57
"TRATADO ITAIPU RELACOES TRABALHO PREVIDENCIA SOCIAL BRASIL PARAGUAI","ato",58
"CONVENCAO ELIMINACAO TODAS FORMAS DISCRIMINACAO CONTRA MULHER","ato",59
