"classe","nome","julgamento_data"
"RE","ACORDO GERAL TARIFAS ADUANEIRAS COMERCIO",2010-08-12
"RE","CONVENCAO PREVENCAO REPRESSAO CRIME GENOCIDIO",2006-08-03
"EXT","TRATADO EXTRADICAO BRASIL ITALIA",2010-11-25
"EXT","CONVENCAO NACOES UNIDAS CONTRA CRIME ORGANIZADO TRANSNACIONAL",2009-04-16
"EXT","TRATADO EXTRADICAO BRASIL SUICA",1995-06-07
"ADI","PACTO INTERNACIONAL DIREITOS CIVIS POLITICOS",2008-05-29
"HC","CONVENCAO NACOES UNIDAS CONTRA CRIME ORGANIZADO TRANSNACIONAL",2008-11-18
"HC","CONVENCAO AMERICANA DIREITOS HUMANOS",2008-10-30
"AI","CONVENCAO AMERICANA DIREITOS HUMANOS",2003-08-05
"HC","CONVENCAO AMERICANA DIREITOS HUMANOS",2009-08-04
"HC","CONVENCAO AMERICANA DIREITOS HUMANOS",2009-02-05
"HC","CONVENCAO AMERICANA DIREITOS HUMANOS",2009-12-15
"ADPF","CONVENCAO AMERICANA DIREITOS HUMANOS",2008-08-06
"HC","PACTO INTERNACIONAL DIREITOS CIVIS POLITICOS",2008-10-30
"EXT","CONVENCAO EUROPEIA EXTRADICAO",1995-06-07
"HC","PACTO INTERNACIONAL DIREITOS CIVIS POLITICOS",2009-12-15
"ADPF","PACTO INTERNACIONAL DIREITOS CIVIS POLITICOS",2008-08-06
"ADI","PACTO INTERNACIONAL DIREITOS CIVIS POLITICOS",2007-06-28
"ADPF","CONVENCAO CONTRA TORTURA OUTROS TRATAMENTOS PENAS CRUEIS DESUMANOS DEGRADANTES",2010-04-29
"HC","CONVENCAO CONTRA TRAFICO ILICITO ENTORPECENTES SUBSTANCIAS PSICOTROPICAS",2010-08-10
"AI","CONVENCAO VARSOVIA",2009-10-22
"ADPF","CONVENCAO INTERAMERICANA PREVENIR PUNIR TORTURA",2010-04-29
"ADPF","CONVENCAO IMPRESCRITIBILIDADE CRIMES GUERRA CRIMES CONTRA HUMANIDADE",2010-04-29
"HC","PACTO INTERNACIONAL DIREITOS CIVIS POLITICOS",2009-02-05
"EXT","TRATADO EXTRADICAO BRASIL PORTUGAL",2005-05-25
"EXT","ACORDO BILATERAL BRASIL HOLANDA",2014-10-21
"EXT","ACORDO BILATERAL BRASIL PORTUGAL",2014-10-21
"EXT","ACORDO EXTRADICAO ESTADOS PARTES MERCOSUL",2022-10-10
"EXT","ACORDO EXTRADICAO BRASIL PERU",2023-04-18
"EXT","ACORDO EXTRADICAO ESTADOS PARTES MERCOSUL",2022-09-26
"EXT","ACORDO EXTRADICAO ESTADOS PARTES MERCOSUL",2017-11-21
"EXT","ACORDO EXTRADICAO ESTADOS PARTES MERCOSUL",2019-11-29
"EXT","ACORDO EXTRADICAO ESTADOS PARTES MERCOSUL",2023-03-01
"ADPF","ACORDO PARIS SOB CONVENCAO QUADRO NACOES UNIDAS MUDANCA CLIMA",2022-04-28
"ADPF","ACORDO PARIS SOB CONVENCAO QUADRO NACOES UNIDAS MUDANCA CLIMA",2022-07-04
"RE","ACORDO BRASIL EUA MELHORIA OBSERVANCIA TRIBUTARIA INTERNACIONAL IMPLEMENTACAO FATCA",2019-12-04
"ADI","ACORDO BRASIL EUA INTERCAMBIO INFORMACOES RELATIVAS TRIBUTOS",2016-02-24
"ARE","ACORDO GERAL TARIFAS ADUANEIRAS COMERCIO",2023-07-03
"RMS","ACORDO GERAL TARIFAS ADUANEIRAS COMERCIO",1958-09-01
"RMS","ACORDO GERAL TARIFAS ADUANEIRAS COMERCIO",1961-10-11
"RE","ACORDO GERAL TARIFAS ADUANEIRAS COMERCIO",1977-06-01
"ADI","ACORDO GERAL TARIFAS ADUANEIRAS COMERCIO",2017-08-24
"RE","ACORDO GERAL TARIFAS ADUANEIRAS COMERCIO",2014-07-29
"ADI","ACORDO APLICACAO MEDIDAS SANITARIAS FITOSSANITARIAS",2017-08-24
"ADI","ACORDO BARREIRAS TECNICAS COMERCIO",2017-08-24
"RE","ACORDO SUL AMERICANO ENTORPECENTES PSICOTROPICOS",2017-05-17
"ADI","REGULAMENTO SANITARIO INTERNACIONAL",2020-04-15
"ACO","CONVENCAO NACOES UNIDAS DIREITO MAR",2020-06-22
"ADI","REGULAMENTO SANITARIO INTERNACIONAL",2020-12-17
"ADI","CONVENCAO CONTROLE MOVIMENTOS TRANSFRONTEIRICOS RESIDUOS PERIGOSOS SEU DEPOSITO",2017-08-24
"ADI","REGULAMENTO SANITARIO INTERNACIONAL",2020-05-06
